seed,kl,M,method,num_samples
14,0.004631985169179842,100,F1F2,100000
16,0.003943691252821679,100,F1F2,100000
18,0.003917523694724423,100,F1F2,100000
20,0.004160292839621604,100,F1F2,100000
22,0.004023491181921912,100,F1F2,100000
24,0.003088515488208543,100,F1F2,100000
26,0.0031403646895000747,100,F1F2,100000
28,0.004753393837201969,100,F1F2,100000
30,0.0038872141085661838,100,F1F2,100000
32,0.00390853867567742,100,F1F2,100000
34,0.0035857793736937538,100,F1F2,100000
36,0.0024151500720961394,100,F1F2,100000
38,0.0027149621248980793,100,F1F2,100000
40,0.004085362672359594,100,F1F2,100000
2,0.0027021088596903553,200,F1F2,100000
4,0.0017929830373795141,200,F1F2,100000
6,0.003977077031422027,200,F1F2,100000
8,0.00319614700672588,200,F1F2,100000
10,0.0027175377372437026,200,F1F2,100000
12,0.00327874764915137,200,F1F2,100000
14,0.0038947067773413835,200,F1F2,100000
16,0.0028854516496998883,200,F1F2,100000
18,0.003175740989142639,200,F1F2,100000
20,0.0030469780067079455,200,F1F2,100000
22,0.0032397137273072474,200,F1F2,100000
24,0.00241847374951476,200,F1F2,100000
26,0.0027555771276865926,200,F1F2,100000
28,0.003977483291478734,200,F1F2,100000
30,0.0030565090469956147,200,F1F2,100000
32,0.003516561149496056,200,F1F2,100000
34,0.0031765746567131714,200,F1F2,100000
36,0.002496352982650052,200,F1F2,100000
38,0.0030877105550395356,200,F1F2,100000
40,0.0030523767782923983,200,F1F2,100000
2,0.002758250502008508,300,F1F2,100000
4,0.0018496583469413963,300,F1F2,100000
6,0.004761596077877073,300,F1F2,100000
8,0.003912901677750824,300,F1F2,100000
10,0.002560714368865291,300,F1F2,100000
12,0.00346602320757583,300,F1F2,100000
14,0.003819880436548573,300,F1F2,100000
16,0.0028978559781336344,300,F1F2,100000
18,0.003767775110901539,300,F1F2,100000
20,0.0035757163304488415,300,F1F2,100000
22,0.0036033767112719772,300,F1F2,100000
24,0.002242814994797726,300,F1F2,100000
26,0.0031200200987520077,300,F1F2,100000
28,0.004160232851365464,300,F1F2,100000
30,0.0032854931978967272,300,F1F2,100000
32,0.003629594243339085,300,F1F2,100000
34,0.003328280580014109,300,F1F2,100000
36,0.002466690419609563,300,F1F2,100000
38,0.0023800320040514578,300,F1F2,100000
40,0.0033783956223558675,300,F1F2,100000
