seed,kl,M,method,num_samples
14,0.002171759363921666,100,SigmoidF2,100000
16,0.0018779417783143515,100,SigmoidF2,100000
18,0.0016833650305301262,100,SigmoidF2,100000
20,0.0019306662508924433,100,SigmoidF2,100000
22,0.0020310750851066928,100,SigmoidF2,100000
24,0.0018269535572770224,100,SigmoidF2,100000
26,0.0017548623854466427,100,SigmoidF2,100000
28,0.0019481630729956123,100,SigmoidF2,100000
30,0.001968185829873903,100,SigmoidF2,100000
32,0.002065941448737618,100,SigmoidF2,100000
34,0.0020782685533902168,100,SigmoidF2,100000
36,0.002007405739600898,100,SigmoidF2,100000
38,0.0018872358307291393,100,SigmoidF2,100000
40,0.0017957012005958006,100,SigmoidF2,100000
2,0.002392220266340672,200,SigmoidF2,100000
4,0.002513237244919253,200,SigmoidF2,100000
6,0.002842984503097057,200,SigmoidF2,100000
8,0.002881264739439615,200,SigmoidF2,100000
10,0.002384561125900575,200,SigmoidF2,100000
12,0.002849709057493044,200,SigmoidF2,100000
14,0.0027971212629509523,200,SigmoidF2,100000
16,0.0024959676464249014,200,SigmoidF2,100000
18,0.0025598346247122095,200,SigmoidF2,100000
20,0.0023658358219442732,200,SigmoidF2,100000
22,0.0028448397068281395,200,SigmoidF2,100000
24,0.002563689394843749,200,SigmoidF2,100000
26,0.002813397860688127,200,SigmoidF2,100000
28,0.002477351175294018,200,SigmoidF2,100000
30,0.0029021876575576755,200,SigmoidF2,100000
32,0.002534534051832793,200,SigmoidF2,100000
34,0.0026203296549738297,200,SigmoidF2,100000
36,0.0026616692735075276,200,SigmoidF2,100000
38,0.002594885922963641,200,SigmoidF2,100000
40,0.0027706888469545277,200,SigmoidF2,100000
2,0.002399544453350444,300,SigmoidF2,100000
4,0.002619972312619012,300,SigmoidF2,100000
6,0.002895097020463311,300,SigmoidF2,100000
8,0.002383912538064692,300,SigmoidF2,100000
10,0.0026208264348461796,300,SigmoidF2,100000
12,0.002240942918497524,300,SigmoidF2,100000
14,0.0026966970670017076,300,SigmoidF2,100000
16,0.002576531731467213,300,SigmoidF2,100000
18,0.0024651552195393833,300,SigmoidF2,100000
20,0.002685832309495595,300,SigmoidF2,100000
22,0.002871798958747007,300,SigmoidF2,100000
24,0.0027195095235761357,300,SigmoidF2,100000
26,0.0018459754082194024,300,SigmoidF2,100000
28,0.002759529814511552,300,SigmoidF2,100000
30,0.002652034340929532,300,SigmoidF2,100000
32,0.002672465906776722,300,SigmoidF2,100000
34,0.0028309960907968446,300,SigmoidF2,100000
36,0.0027667714295311896,300,SigmoidF2,100000
38,0.002822750334921409,300,SigmoidF2,100000
40,0.0027814096836422664,300,SigmoidF2,100000
